group,topic_id,topic_size,llm_model,llm_provider,prompt_option,label,cosine
A,0,3255,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,mooc certificate issues,0.24926605820655823
A,1,456,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,cold stress effects,0.5671179890632629
A,2,42,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,r package installation issues,0.4696844816207886
A,3,39,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,bootstrap function issues,0.6105329990386963
A,4,22,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,cubic spline properties,0.6937172412872314
A,5,21,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,piazza access issues,0.7274596691131592
A,6,19,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,loading rrdata in rstudio,0.7682192325592041
A,7,19,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,economic growth policy,0.6787952184677124
A,8,17,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,audio volume issues,0.697399377822876
A,9,17,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,correlation and independence,0.606066107749939
A,10,16,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,using courseware sessions,0.6200188994407654
A,11,15,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,coffee and cancer link,0.5408804416656494
A,12,14,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,technical support issues,0.4458971917629242
A,13,13,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,hypercube dimensionality,0.6175844669342041
A,14,12,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,problem solving help,0.5294938683509827
A,15,12,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,choosing function logic,0.4209880530834198
A,16,11,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,person year calculations,0.7888585329055786
A,17,11,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,scpd homework submission,0.8255643248558044
A,18,11,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,article access issues,0.7090857028961182
A,19,10,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,interpreting p-values,0.46417319774627686
A,20,10,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,data analysis software,0.8044906854629517
A,21,9,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,lottery expected value,0.7494925856590271
A,22,9,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,module redundancy issues,0.6984044313430786
A,23,9,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,rent control debate,0.6524555683135986
A,24,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,nba player opportunity cost,0.5624921321868896
A,25,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,download module issues,0.7242352366447449
A,26,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,alpha node splitting,0.4642772376537323
A,27,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,browser issue chrome,0.7677355408668518
A,28,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,case control sampling issues,0.698614776134491
A,29,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,end of chapter exercises,0.7655555009841919
A,30,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,ordinal data types,0.727869987487793
A,31,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,covariance matrix construction,0.7799131274223328
A,32,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,bacterial meningitis treatment,0.5507373809814453
A,33,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,sugar in tea market,0.6926388144493103
A,34,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,single verb discussion,0.8001720905303955
A,35,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,binomial approximation methods,0.6890182495117188
A,36,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,oob test error,0.6077979207038879
A,37,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,active voice conversion,0.11077544838190079
A,38,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,autism prevalence changes,0.7827203869819641
A,39,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,survival probability question,0.6819101572036743
A,40,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,libyan oil impact,0.5986482501029968
A,41,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,access issues,0.820495069026947
A,42,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,linear regression confidence,0.5828335285186768
A,43,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,toluene exposure and parkinsons,0.42146432399749756
A,44,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,slope and intercept,0.8164973258972168
A,45,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,reaction time differences,0.6989961266517639
A,46,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,random forest variance,0.5900096893310547
A,47,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,matrix syntax error,0.777917742729187
A,48,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,1,electron trajectory energy,0.6912703514099121
